Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/dataset/adult-social-work-workforce-data-collection,1,1,00:00:00,100.00%,100.00%
/dataset/allotments-calderdale,1,1,00:00:00,100.00%,100.00%
/dataset/allotments-calderdale/resource/9c1987df-9236-4c43-b230-259bbc8e859f,1,1,00:00:00,100.00%,100.00%
/dataset/approved-venues,1,1,00:00:00,100.00%,100.00%
/dataset/b9e760bc-05c6-42c9-9578-4d4259ee47bc,1,1,00:00:00,100.00%,100.00%
/dataset/business-rates-accounts-in-credit?resource=8d2fce79-601f-48db-9345-7a18d33833c1,1,1,00:00:00,100.00%,100.00%
/dataset/businesses-with-a-rateable-value-of-less-than-12000?resource=4c93a77d-ebfb-4ada-96a4-3e673e45dc8d,1,1,00:00:00,100.00%,100.00%
/dataset/calderdale-accident-data-?resource=3f66108f-093e-4abd-9c8e-e4bb80ae4b16,1,1,00:00:23,0.00%,0.00%
/dataset/calderdale-accident-data-?resource=81b5d186-ba71-4a23-bcda-03736f0bb44c,1,1,00:00:00,100.00%,100.00%
/dataset/calderdale-business-properties---complete-list?resource=10561bf9-e1df-45b7-87d2-81d8aed84b97,1,1,00:00:00,100.00%,100.00%
/dataset/calderdale-imd-2015-results-at-lsoa--neighbourhood-and-ward?resource=f07521d9-69a7-4428-9c34-70b977d55d9e,1,1,00:00:00,100.00%,100.00%
/dataset/cemeteries,1,1,00:00:00,100.00%,100.00%
/dataset/change-programmes,1,1,00:00:00,0.00%,100.00%
/dataset/chemists-and-pharmacies,1,1,00:00:00,100.00%,100.00%
/dataset/citizens-advice?q=citize,1,1,00:00:00,100.00%,100.00%
/dataset/community-centres,1,1,00:00:00,0.00%,100.00%
/dataset/consistent-financial-reporting?resource=889dba34-bc8a-4bf7-8762-a7fa41e5adfa,1,1,00:00:00,100.00%,100.00%
/dataset/council-tax-charges-calderdale,1,1,00:00:00,0.00%,100.00%
/dataset/councillor-allowances-and-expenses?fbclid=IwAR1-_x4MuSyf9AZ8uiwWezOYItAwi2gqr13MTLM5BGq6ca0jLRaRhp3XIdE,1,1,00:00:00,100.00%,100.00%
/dataset/councillor-allowances-and-expenses?fbclid=IwAR1TnVog-gfuUBqecq74LJs5JjUuZKmykw7El2aZ5_QhWqk8PdAWhLIsFik,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR0fzg-zznRvbStXUYR5fd6XuSOdxifaetzphKJZFwCwcuuAZZBuiE4TyEg,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR0jAnR1Bi0LoqIl1YYXwRUm6hkzmrpPFUB9dHPHmyscAzCq1K4kWgFXnvM,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR0sl3FHduDi_mH0LYbnZ84sFZa2Zw1nMvDVTdGS_eI3pnzUx-0mGxRerJc,1,1,00:00:00,100.00%,100.00%
